0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	
0	0	0	0	0	0	0	1	-1	0	0	0	1	0	0	0	
1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	1	-1	0	0	-1	0	0	0	0	0	
0	0	0	0	0	0	0	0	1	-1	1	-1	0	0	0	0	
0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	
0	1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	
75.5	12	55.5	0	0	0	0	0	0	0	0	0	0	0	0	100	
75.5	12	0	-2	0	59.5	0	0	0	0	0	0	0	0	0	100	
75.5	0	0	0	0	0	2	8	4	0	0	51.5	0	0	0	100	
75.5	0	0	0	0	0	2	8	0	0	0	0	-2	41.5	0	100	
75.5	0	0	0	0	0	2	0	-4	0	4	0	-2	41.5	0	100	
75.5	0	0	0	0	0	2	0	0	0	4	51.5	0	0	0	100	
0	12	55.5	0	0	0	-2	0	4	0	-4	0	2	0	-57.5	100	
0	12	0	-2	0	59.5	-2	0	4	0	-4	0	2	0	-57.5	100	
0	0	0	0	0	0	0	0	4	0	0	51.5	2	0	-57.5	100	
0	12	55.5	0	0	0	-2	-8	0	0	0	0	2	0	-57.5	100	
0	12	0	-2	0	59.5	-2	-8	0	0	0	0	2	0	-57.5	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	41.5	-57.5	100	
0	0	0	0	-65.5	59.5	0	0	0	0	0	0	0	0	0	100	
0	0	55.5	2	-65.5	0	0	0	0	0	0	0	0	0	0	100	
0	-12	0	2	-65.5	0	2	8	4	0	0	51.5	0	0	0	100	
0	-12	0	2	-65.5	0	2	8	0	0	0	0	-2	41.5	0	100	
0	-12	0	2	-65.5	0	2	0	-4	0	4	0	-2	41.5	0	100	
0	-12	0	2	-65.5	0	2	0	0	0	4	51.5	0	0	0	100	
0	0	0	0	0	0	0	0	-4	-77.5	0	0	-2	41.5	0	100	
0	12	55.5	0	0	0	-2	-8	-4	-77.5	0	0	0	0	0	100	
0	12	0	-2	0	59.5	-2	-8	-4	-77.5	0	0	0	0	0	100	
0	12	55.5	0	0	0	-2	0	0	-77.5	-4	0	0	0	0	100	
0	12	0	-2	0	59.5	-2	0	0	-77.5	-4	0	0	0	0	100	
0	0	0	0	0	0	0	0	0	-77.5	0	51.5	0	0	0	100	
